12, aardvark, NN, 12.0
14, aardwolf, NN, 12.0
18, aaronic, NN, 10.5
20, aaronite, NN, 12.0
23, aarrghh, NN, 10.5
26, aasvogel, NN, 12.0
30, ababdeh, NN, 10.5
36, abacate, NN, 10.5
37, abacaxi, NN, 10.5
41, abacisci, NN, 12.0
43, abacist, NN, 10.5
50, abaction, NN, 12.0
51, abactor, NN, 10.5
52, abaculi, NN, 10.5
53, abaculus, NN, 12.0
55, abacuses, NNS, 12.0
57, abaddon, NN, 10.5
58, abadejo, NN, 10.5
59, abadengo, NN, 12.0
61, abadite, NN, 10.5
67, abaised, VBN, 10.5
68, abaiser, NN, 10.5
69, abaisse, NN, 10.5
70, abaissed, VBN, 12.0
78, abalone, NN, 10.5
79, abalones, NNS, 12.0
82, abampere, RB, 12.0
86, abandon, NN, 10.5
96, abandons, NNS, 12.0
97, abandum, NN, 10.5
102, abantes, NNS, 10.5
103, abapical, JJ, 12.0
106, abarambo, NN, 12.0
114, abasedly, RB, 12.0
119, abasers, NNS, 10.5
123, abashed, VBN, 10.5
126, abashes, NNS, 10.5
127, abashing, VBG, 12.0
133, abasias, NNS, 10.5
135, abasing, VBG, 10.5
139, abassin, NN, 10.5
140, abastard, NN, 12.0
142, abastral, JJ, 12.0
143, abatable, JJ, 12.0
144, abatage, NN, 10.5
150, abaters, NNS, 10.5
153, abating, VBG, 10.5
155, abatised, VBN, 12.0
156, abatises, NNS, 12.0
157, abatjour, NN, 12.0
161, abators, NNS, 10.5
162, abattage, NN, 12.0
163, abattis, NN, 10.5
166, abattoir, NN, 12.0
169, abattue, NN, 10.5
171, abature, NN, 10.5
174, abaxial, JJ, 10.5
175, abaxile, NN, 10.5
180, abbacies, NNS, 12.0
182, abbadide, NN, 12.0
187, abbasid, NN, 10.5
188, abbassi, NN, 10.5
191, abbatial, JJ, 12.0
193, abbatie, NN, 10.5
201, abbesses, NNS, 12.0
207, abbogada, NN, 12.0
209, abbotcy, NN, 10.5
212, abbotric, NN, 12.0
217, abbozzo, NN, 10.5
235, abcissa, NN, 10.5
240, abdaria, NNS, 10.5
242, abderian, JJ, 12.0
243, abderite, NN, 12.0
246, abdicant, NN, 12.0
247, abdicate, NN, 12.0
256, abditive, JJ, 12.0
257, abditory, NN, 12.0
259, abdomen, NNS, 10.5
260, abdomens, NNS, 12.0
261, abdomina, NN, 12.0
283, abduced, VBN, 10.5
284, abducens, NNS, 12.0
285, abducent, NN, 12.0
287, abduces, NNS, 10.5
288, abducing, VBG, 12.0
290, abducted, VBN, 12.0
294, abductor, NN, 12.0
